LOJA;NOME_LOJA;EMPRESA;CNPJ;TAMANHO
1;LOJA 01;ATACADEZ;12312312312312;15000
2;LOJA 02;ATACADEZ;12312312312312;12000
3;LOJA 03;ATACADEZ;12312312312312;3000
4;LOJA 04;ATACADEZ;12312312312312;4000
5;LOJA 05;ATACADEZ;12312312312312;6000
6;LOJA 06;ATACADEZ;12312312312312;18000
7;LOJA 07;ATACADEZ;12312312312312;14000
8;LOJA 08;ATACADEZ;12312312312312;5000
9;LOJA 09;ATACADEZ;12312312312312;4000
10;LOJA 10;ATACADEZ;12312312312312;3000
11;LOJA 11;ATACADEZ;12312312312312;6000
12;LOJA 12;ATACADEZ;12312312312312;12000